TransferSubject,TransferCourse,Transfer Title,TransferHours,TransferLevel,Connector,OU Subject,OU Course,OU Title,OUCredits,Gen. Ed.,Pass
HACT,129,RUNNING,1,LOWER DIV,,HES,1999,LOWER DIVISION TRANSFER CREDIT,1,,
HACT,130,BEGIN SPINNING,1,LOWER DIVISION,,HES,1999,LOWER DIVISION TRANSFER CREDIT,1,,
HACT,135,WALKING,1,LOWER DIV,,HES,1999,LOWER DIVISION TRANSFER CREDIT,1,,
HACT,275,ADVANCED BASKETBALL,1,LOWER DIVISION,,HES,1999,LOWER DIVISION TRANSFER CREDIT,1,,
HACT,277,ADV WEIGHT TRAINING,1,LOWER DIVISION,,HES,1999,LOWER DIVISION TRANSFER CREDIT,1,,
HIST,101,WESTERN CIVILIZATN,3,Lower Division Course,,HIST,1613,WESTERN CIVILIZATION I,3,Gen Ed-Western Culture,
HIST,102,WESTERN CIV II,3,LOWER DIVISION,,HIST,1613,WESTERN CIVILIZATION I,3,Gen Ed-Western Culture,
HIST,111,US HISTORY,3,Lower Division Course,,HIST,1483,UNITED STATES TO 1865,3,Gen Ed-US History,
HIST,112,US HISTORY,3,Lower Division Course,,HIST,1493,"UNITED STATES, 1865 TO PRESENT",3,Gen Ed-US History,
HLTH,153,WELLNESS-STRESS MGT,2,LOWER DIVISION,,HES,1999,LOWER DIVISION TRANSFER CREDIT,2,,
HLTH,204,LDRSHP AND ETHICS IN ATHLETICS,2,LOWER DIVISION,,HES,1999,LOWER DIVISION TRANSFER CREDIT,2,,
HONS,101,HONORS READING,1,LOWER DIVISION,,TRF,1999,LOWER DIVISION TRANSFER CREDIT,1,,
HONS,298,HONORS SEMINAR,2,LOWER DIVISION,,TRF,1999,LOWER DIVISION TRANSFER CREDIT,2,,
HOSM,110,THE PROFESSIONAL KITCHEN,2,LOWER DIVISION,,TRF,1999,LOWER DIVISION TRANSFER CREDIT,2,,
HOSM,140,HOSPITALITY LAW,3,LOWER DIVISION,,TRF,1999,LOWER DIVISION TRANSFER CREDIT,3,,
HOSM,151,HOSPITALITY MARKETING,3,LOWER DIVISION,,TRF,1999,LOWER DIVISION TRANSFER CREDIT,3,,
HOSM,154,FRONT OFFICE MANAGEMENT,3,LOWER DIVISION,,TRF,1999,LOWER DIVISION TRANSFER CREDIT,3,,
HOSM,158,HOTEL HOUSEKEEPING,2,LOWER DIVISION,,TRF,1999,LOWER DIVISION TRANSFER CREDIT,2,,
HOSM,167,MAINTENANCE AND ENGINEERING,2,LOWER DIVISION,,TRF,1999,LOWER DIVISION TRANSFER CREDIT,2,,
HOSM,173,EVENT MANAGEMENT,2,LOWER DIVISION,,TRF,1999,LOWER DIVISION TRANSFER CREDIT,2,,
HOSM,174,CUSTOMER SVC & CONFLICT RESOL,3,LOWER DIVISION,,TRF,1999,LOWER DIVISION TRANSFER CREDIT,3,,
HOSM,266,FOOD AND BEVERAGE SERVICE,3,LOWER DIVISION,,TRF,1999,LOWER DIVISION TRANSFER CREDIT,3,,
HOSM,267,FOOD & BEVERAGE CONTROLS,3,LOWER DIVISION,,TRF,1999,LOWER DIVISION TRANSFER CREDIT,3,,
HOSM,285,COOPERATIVE EDUCATION,2,LOWER DIVISION,,TRF,1999,LOWER DIVISION TRANSFER CREDIT,2,,
HREC,149,DUTCH OVEN COOKING,3,LOWER DIVISION,,TRF,1999,LOWER DIVISION TRANSFER CREDIT,3,,
HUMA,101,INTRO TO HUMANITIES,3,LOWER DIVISION,,TRF,1999,LOWER DIVISION TRANSFER CREDIT,3,,
HUMA,102,INTRO TO HUMANITIES II,3,LOWER DIVISION,,TRF,1999,LOWER DIVISION TRANSFER CREDIT,3,,
INFT,000E,COMPUTER LITERACY,0,Lower Division Course,,TRF,1999,LOWER DIVISION TRANSFER CREDIT,0,,
INFT,101,COMPUTER LITER SKL,3,Lower Division Course,,TRF,1999,LOWER DIVISION TRANSFER CREDIT,3,,
INFT,101E,COMP LIT SKILL DEV,3,Lower Division Course,,TRF,1999,LOWER DIVISION TRANSFER CREDIT,3,,
IS,101,INTRO MGT INFO SYS,3,Lower Division Course,,TRF,1999,LOWER DIVISION TRANSFER CREDIT,3,,
JOUR,111,JOURNALISM LAB,1,LOWER DIVISION,,JMC,1999,LOWER DIVISION TRANSFER CREDIT,1,,
KKCE,001,KEYBOARD,0,Lower Division Course,,TRF,1999,LOWER DIVISION TRANSFER CREDIT,0,,
KKMS,001,BABYSITING RED CROS,0,Lower Division Course,,TRF,1999,LOWER DIVISION TRANSFER CREDIT,0,,
LANG,101EA,BYU LANG I-SPAN,4,,,SPAN,1115,BEGINNING SPANISH,4,Gen Ed-Foreign Language,
LANG,101EB,BYU LANG-PORTGUESE,4,,,PORT,1115,BEGINNING PORTUGUESE,4,Gen Ed-Foreign Language,
LANG,102EA,BYU LANG 2-SPAN II,4,,,SPAN,1225,BEGINNING SPANISH (CONTINUED),4,Gen Ed-Foreign Language,
LANG,102EB,BYU LANG PORTUGU 2,4,,,PORT,1225,BEGINNING PORTUGUESE CONTINUED,4,Gen Ed-Foreign Language,
LANG,201E,BYU LANG 3-SPAN 3,4,Lower Division Course,,SPAN,2113,INTERMEDIATE SPANISH,3,,
LANG,201E,BYU LANG 3-SPAN 3,4,Lower Division Course,AND,SPAN,1999,LOWER DIVISION TRANSFER CREDIT,1,,
MATH,010,BEGINNING ALGEBRA,3,Lower Division Course,,MATH,0999,REMEDIAL TRANSFER CREDIT,3,,
MATH,015,PREALGEBRA,3,Lower Division Course,,MATH,0999,REMEDIAL TRANSFER CREDIT,3,,
MATH,020,INTERMED ALGEBRA,3,Lower Division Course,,MATH,0999,REMEDIAL TRANSFER CREDIT,3,,
MATH,025,BEGINNING ALGEBRA,3,Lower Division Course,,MATH,0999,REMEDIAL TRANSFER CREDIT,3,,
MATH,026,BEGIN ALGEBRA,3,Lower Division Course,,MATH,0999,REMEDIAL TRANSFER CREDIT,3,,
MATH,108A,COLLEGE ALGEBRA,3,,,MATH,1503,COLLEGE ALGEBRA,3,Gen Ed-Mathematics,
MATH,108B,INTERMED ALGEBRA,4,,,MATH,0999,REMEDIAL TRANSFER CREDIT,4,,
MATH,122,MATH IN MOD SOCIETY,3,Lower Division Course,,TRF,1999,LOWER DIVISION TRANSFER CREDIT,3,,
MATH,123,MATH-MODERN SOCIETY,3,Lower Division Course,,MATH,1473,MATH FOR CRITICAL THINKING,3,Gen Ed-Mathematics,
MATH,140,COLLEGE ALGEBRA,3,Lower Division Course,,MATH,1503,COLLEGE ALGEBRA,3,Gen Ed-Mathematics,
MATH,143,COLLEGE ALGEBRA,3,Lower Division Course,,MATH,1503,COLLEGE ALGEBRA,3,Gen Ed-Mathematics,
MATH,144,TROGONOMETRY,2,Lower Division Course,,MATH,1523,PRECALCULUS AND TRIGONOMETRY,2,Gen Ed-Mathematics,
